Product ,,,Item Categorization,,,,,,,,,,Item Specs,,,,,,,,,,,,,,,Images,Pricing,,
SKU,SKU #,Product Satus,Product type,Style (Pattern),Category,Category (Trim),Collection,Usage,Color 1,Color 2,Fire Code,Min Order Qty.,Content,Cleaning Code,Finish,Style,Usage2,Repeat,Width (inches),Abrasion,Category2,Direction,Fire Code2,Color,Weight,Collection2,Roll size,File Name,Price Level 1,Price Level 3,Price Level 5
01042 Col. Black,00001,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Black,Brown,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.25,,,,,Black,,Portofino,27.5 yds (25 m),01042-Black.jpg,$0.92,$2.40,$1.84
01042 Col. Blue,00002,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Blue,White,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.25,,,,,Blue,,Portofino,27.5 yds (25 m),01042-Blue.jpg,$0.92,$2.40,$1.84
01042 Col. Brown,00003,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Brown,,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.25,,,,,Brown,,Portofino,27.5 yds (25 m),01042-Brown.jpg,$0.92,$2.40,$1.84
01042 Col. Coral,00004,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Red,Orange,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.25,,,,,Coral,,Portofino,27.5 yds (25 m),01042-Coral.jpg,$0.92,$2.40,$1.84
01042 Col. Sage,00005,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Neutral,,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.25,,,,,Sage,,Portofino,27.5 yds (25 m),01042-Sage.jpg,$0.92,$2.40,$1.84
01042 Col. Spa,00006,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Blue,Brown,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.25,,,,,Spa,,Portofino,27.5 yds (25 m),01042-Spa.jpg,$0.92,$2.40,$1.84
01042 Col. Tuscan,00007,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Yellow,,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.25,,,,,Tuscan,,Portofino,27.5 yds (25 m),01042-Tuscan.jpg,$0.92,$2.40,$1.84
01119 Col. Black,00008,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Black,Brown,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.375,,,,,Black,,Portofino,27.5 yds (25 m),01119-Black.jpg,$1.41,$2.82,$2.78
01119 Col. Blue,00009,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Black,Neutral,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.375,,,,,Blue,,Portofino,27.5 yds (25 m),01119 Col. Blue.jpg,$1.41,$2.82,$2.78
01119 Col. Brown,00010,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Brown,,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.375,,,,,Brown,,Portofino,27.5 yds (25 m),01119-Brown.jpg,$1.41,$2.82,$2.78
01119 Col. Coral,00011,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Red,Pink,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.375,,,,,Coral,,Portofino,27.5 yds (25 m),01119-Coral.jpg,$1.41,$2.82,$2.78
01119 Col. Neutral,00012,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Neutral,White,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.375,,,,,Neutral,,Portofino,27.5 yds (25 m),01119-Neutral.jpg,$1.41,$2.82,$2.78
01119 Col. Sage,00013,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Neutral,,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.375,,,,,Sage,,Portofino,27.5 yds (25 m),01119-Sage.jpg,$1.41,$2.82,$2.78
01119 Col. Spa,00014,Discontinued,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,,,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.375,,,,,Spa,,Portofino,27.5 yds (25 m),,$1.41,$2.82,$2.78
01119 Col. Tuscan,00015,Current,Trim,Solid/Plain,,Cords,Portofino,Multi-purpose,Yellow,Multi,,27.5,50% Viscose 50% Cotton,S,,Solid/Plain,Multi-purpose,,0.375,,,,,Tuscan,,Portofino,27.5 yds (25 m),01119-Tuscan.jpg,$1.41,$2.82,$2.78
0204-Silver,00016,Current,Trim,Metallic,,Tapes/Braids,Metallic Collection,Multi-purpose,Silver,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,1.5,,,,,Silver,,Metallic Collection,27.5 yds (25 m),0204-Silver.jpg,$3.15,$5.29,$6.30
0204-Antique,00017,Current,Trim,Metallic,,Tapes/Braids,Metallic Collection,Multi-purpose,Green,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,1.5,,,,,Antique,,Metallic Collection,27.5 yds (25 m),0204-Antique.jpg,$3.15,$5.29,$6.30
0204-Gold,00018,Current,Trim,Metallic,,Tapes/Braids,Metallic Collection,Multi-purpose,Gold,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,1.5,,,,,Gold,,Metallic Collection,27.5 yds (25 m),0204-Gold.jpg,$3.15,$5.29,$6.30
0204-Titanium,00019,Current,Trim,Metallic,,Tapes/Braids,Metallic Collection,Multi-purpose,Black,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,1.5,,,,,Titanium,,Metallic Collection,27.5 yds (25 m),0204-Titanium.jpg,$3.15,$5.29,$6.30
02050 Col. Black,00020,Discontinued,Trim,Solid/Plain,,Brushed Fringe,Portofino,Multi-purpose,Black,,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.75,,,,,Black,,Portofino,27.5 yds (25 m),,$1.97,$5.55,$3.94
